temperature,pressure,vibration,humidity,equipment_type,location,faulty
42.91,45.1,1.2888,56.7256,Pump,San Francisco,0
60.13,35.62,0.492,45.9947,Pump,Chicago,0
88.26,46.23,4.7392,43.151,Compressor,Chicago,1
52.96,20.92,0.533,61.0601,Pump,Houston,0
49.18,56.96,1.6055,49.0329,Turbine,Houston,0
84.62,81.55,4.0914,46.503,Compressor,New York,1
93.08,37.9,2.8259,57.4326,Turbine,Chicago,1
76.03,67.27,2.0965,58.1209,Compressor,San Francisco,0
63.51,39.81,3.4488,44.7915,Compressor,New York,0
81.01,45.9,3.0467,58.4444,Turbine,Chicago,1
81.86,42.57,2.2019,45.0449,Turbine,Atlanta,0
61.52,52.98,0.8525,50.8102,Compressor,Chicago,0
83.41,31.16,1.787,32.4643,Turbine,San Francisco,0
67.98,24.21,2.2268,42.1938,Compressor,Houston,0
81.49,32.97,1.4825,67.708,Turbine,San Francisco,0
69.86,29.06,1.0653,74.4587,Pump,Chicago,0
70.6,66.21,2.6671,49.5918,Compressor,San Francisco,0
74.3,42.08,1.6358,37.2325,Turbine,Chicago,0
63.07,47.69,3.0855,41.4056,Compressor,Houston,0
69.38,29.84,1.0288,50.3772,Pump,New York,0
82.22,45.21,3.3767,46.0539,Pump,New York,1
72.3,43.36,0.2058,62.2954,Pump,Atlanta,0
85.82,80.98,3.5862,59.0935,Compressor,Chicago,1
65.54,54.53,2.2898,44.7714,Turbine,New York,0
71.56,51.22,3.1967,37.322,Compressor,Atlanta,1
60.47,37.25,1.7815,34.6747,Turbine,Atlanta,0
58.51,28.41,0.8571,60.9731,Pump,San Francisco,0
78.72,44.99,3.1406,60.0819,Pump,Houston,1
71.31,86.81,2.0869,27.9123,Compressor,Atlanta,0
59.48,59.49,2.1623,29.8426,Compressor,Atlanta,0
63.87,36.12,1.6429,53.3446,Turbine,New York,0
60.34,31.47,1.5228,43.6901,Turbine,Houston,0
99.07,55.36,4.4325,58.2048,Turbine,New York,1
62.4,38.06,1.2799,59.2168,Pump,Houston,0
63.18,28.7,1.0585,53.4133,Pump,Atlanta,0
64.58,46.39,2.2837,53.4311,Turbine,Chicago,0
61.91,35.46,0.592,62.4625,Pump,Chicago,0
101.86,52.64,2.9073,46.0111,Turbine,San Francisco,1
75.19,33.75,1.876,59.769,Turbine,Houston,0
105.2,53.9,2.6359,58.829,Compressor,Atlanta,1
81.37,35.43,1.4435,37.7506,Turbine,San Francisco,0
74.4,34.98,0.9894,57.0836,Turbine,San Francisco,0
62.78,32.8,1.9083,51.3327,Compressor,New York,0
68.98,32.93,0.7867,48.3088,Pump,New York,0
58.37,65.64,0.8921,51.5425,Turbine,Atlanta,0
88.41,43.13,3.3149,50.2331,Turbine,Atlanta,1
91.97,62.09,3.4551,64.4012,Turbine,New York,1
68.66,26.3,1.5409,40.3561,Compressor,Atlanta,0
58.65,64.94,1.7785,44.7461,Compressor,Houston,0
49.16,61.41,2.6286,49.2546,Compressor,Chicago,0
75.33,64.28,3.9971,33.4164,Compressor,Atlanta,1
62.79,50.4,2.1667,24.5827,Compressor,New York,0
59.98,37.19,2.3988,56.4084,Turbine,Atlanta,0
88.52,66.99,5.3614,58.8315,Compressor,Chicago,1
63.93,41.81,0.8262,65.8901,Pump,Atlanta,0
73.17,36.98,1.6226,48.1081,Pump,San Francisco,0
63.49,35.16,1.3398,54.2417,Turbine,New York,0
58.14,45.43,1.1518,35.0259,Pump,New York,0
66.3,45.26,2.5966,51.2983,Pump,San Francisco,1
59.08,40.03,1.1151,65.3134,Pump,New York,0
74.52,94.19,1.6724,45.7662,Compressor,New York,0
63.27,63.25,2.5219,29.2361,Compressor,New York,0
79.77,70.7,1.4995,48.958,Compressor,Houston,0
64.74,67.59,2.4349,41.2939,Compressor,Chicago,0
62.68,27.86,0.7378,38.7378,Pump,Atlanta,0
97.17,65.38,2.5781,49.4737,Pump,Houston,1
40.81,28.42,1.5853,49.1002,Pump,San Francisco,0
75.88,41.15,1.129,36.9534,Turbine,Atlanta,0
66.78,60.77,1.691,54.3004,Turbine,San Francisco,0
56.78,30.49,1.0448,50.2232,Pump,New York,0
60.79,15.02,1.2749,58.4649,Pump,Houston,0
51.29,39.03,0.7185,61.4427,Pump,San Francisco,0
52.79,39.84,1.2416,42.8103,Pump,Chicago,0
61.84,36.67,0.8794,57.7903,Pump,Chicago,0
76.39,28.57,2.3167,38.5365,Turbine,New York,0
48.87,63.97,1.7324,47.0619,Compressor,New York,0
92.23,56.94,2.9665,62.6781,Pump,Atlanta,1
72.9,44.13,0.8247,36.0084,Compressor,Chicago,0
73.38,50.86,0.3941,65.714,Pump,Atlanta,0
48.49,57.68,1.5208,47.676,Turbine,Atlanta,0
96.42,50.5,0.6955,46.7097,Compressor,Chicago,0
65.95,43.53,1.2277,57.8119,Pump,San Francisco,0
62.46,37.19,0.6535,49.0166,Turbine,New York,0
89.56,64.68,2.2034,40.2059,Compressor,San Francisco,0
65.91,69.72,1.5677,50.1354,Compressor,Atlanta,0
73.97,34.25,0.8263,55.6369,Pump,Atlanta,0
87.47,98.76,5.0602,49.2201,Compressor,San Francisco,1
67.4,32.46,1.095,70.0966,Pump,Chicago,0
66.93,39.58,1.3087,60.6979,Pump,Houston,0
68.58,47.5,3.1508,51.3949,Pump,New York,1
90.44,53.53,3.9819,72.1052,Turbine,Houston,1
64.12,88.7,1.3571,61.3912,Compressor,Atlanta,0
70.69,74.43,1.6967,42.9642,Compressor,Houston,0
53.13,27.47,2.081,34.4847,Turbine,Atlanta,0
64.79,42.05,0.8273,58.2401,Turbine,Atlanta,0
53.27,31.5,2.556,64.4654,Compressor,San Francisco,0
90.58,66.14,4.431,35.7933,Compressor,New York,1
105.83,51.93,4.157,37.8546,Turbine,Chicago,1
88.65,57.64,3.2319,43.4482,Pump,Houston,1
67.98,65.03,1.0095,45.2485,Compressor,Chicago,0
62.14,26.69,0.5819,55.0799,Turbine,New York,0
73.36,50.47,2.201,44.9845,Compressor,Chicago,0
65.61,51.66,1.7842,55.9959,Turbine,New York,0
72.12,51.8,1.4223,71.2921,Compressor,Atlanta,0
64.84,49.32,1.1002,53.5155,Turbine,New York,0
68.92,39.31,1.294,53.017,Turbine,Chicago,0
72.83,32.07,1.7701,37.175,Turbine,New York,0
46.69,37.78,0.9763,40.1972,Pump,San Francisco,0
59.02,23.89,1.4327,53.5446,Compressor,Houston,0
47.26,41.26,0.7802,47.9833,Pump,New York,0
74.71,47.3,1.2837,63.2708,Turbine,New York,0
82.08,36.83,1.9393,57.622,Turbine,San Francisco,0
98.69,59.24,5.3994,52.9402,Compressor,Chicago,1
59.85,40.79,1.0359,45.2693,Pump,Houston,0
59.73,25.67,0.867,46.152,Pump,Houston,0
56.25,15.85,2.2279,47.0709,Compressor,San Francisco,0
68.02,36.2,1.4562,51.5272,Turbine,Atlanta,0
77.42,42.99,2.1509,65.6151,Turbine,New York,0
60.89,52.22,0.9313,55.9004,Pump,Houston,0
68.77,40.94,1.505,44.574,Turbine,San Francisco,0
71.8,67.37,1.6389,40.6395,Compressor,New York,0
62.18,48.8,1.8036,63.1116,Turbine,Houston,0
76.39,51.79,4.7698,44.4714,Compressor,Chicago,1
74.89,63.99,4.6653,44.7233,Compressor,Houston,1
87.3,51.38,3.8092,37.2099,Compressor,San Francisco,1
59.89,38.59,2.1685,50.125,Compressor,New York,0
68.6,29.17,0.9499,57.8258,Pump,Atlanta,0
73.72,55.99,2.0624,42.0061,Turbine,Houston,0
89.06,54.14,3.9063,55.7791,Turbine,New York,1
50.26,17.27,1.241,63.5217,Pump,San Francisco,0
61.63,26.44,0.9464,65.1754,Pump,San Francisco,0
93.28,51.1,5.0304,40.7719,Compressor,Chicago,1
67.2,49.47,0.8456,43.8978,Pump,Atlanta,0
55.5,28.94,1.2729,41.7966,Turbine,Atlanta,0
95.64,37.5,2.7968,61.7175,Pump,Houston,1
60.84,32.29,2.7844,42.4412,Compressor,Houston,0
105.42,75.06,4.5308,62.0837,Turbine,San Francisco,1
55.08,55.79,2.8541,53.4833,Compressor,Chicago,0
37.26,62.01,1.6546,36.1396,Compressor,Houston,0
84.8,36.35,3.057,60.7676,Pump,Atlanta,1
75.45,30.57,1.6519,36.2331,Turbine,New York,0
72.18,75.13,3.3438,52.3489,Compressor,Chicago,0
54.17,21.99,0.5799,26.9378,Pump,Houston,0
79.09,54.28,1.55,51.4596,Turbine,Chicago,0
55.02,54.53,2.6129,57.2693,Compressor,Atlanta,0
98.86,48.07,3.4667,52.4528,Turbine,New York,1
52.82,30.16,1.3159,75.3331,Pump,Chicago,0
68.31,41.11,1.8935,41.0887,Turbine,New York,0
77.42,59.27,3.1462,60.5538,Pump,New York,1
56.62,59.16,0.9842,34.2653,Compressor,Atlanta,0
62.65,31.9,1.6003,61.4864,Turbine,New York,0
80.12,17.16,1.6197,64.2932,Turbine,Houston,0
69.37,63.56,0.1097,34.9027,Compressor,Chicago,0
103.97,55.57,3.1764,49.4112,Turbine,New York,1
52.91,29.9,1.3486,47.3164,Pump,Atlanta,0
60.03,39.67,2.0689,51.3878,Compressor,Houston,0
84.39,53.96,4.0667,53.8128,Compressor,Atlanta,1
51.87,32.95,0.5928,52.3722,Pump,New York,0
83.73,66.2,1.6421,57.8102,Compressor,New York,0
74.83,59.85,2.667,40.7224,Compressor,Chicago,0
54.53,29.84,1.0894,62.609,Pump,San Francisco,0
52.64,37.04,1.0575,57.4124,Pump,Houston,0
54.38,56.42,1.8503,54.8573,Compressor,Atlanta,0
54.98,40.59,1.088,54.2504,Pump,San Francisco,0
88.08,43.51,1.3482,30.4472,Turbine,Atlanta,0
59.09,12.6,0.8505,64.9269,Pump,New York,0
87.44,58.11,4.6857,43.311,Compressor,Houston,1
72.17,50.21,1.2995,50.6838,Pump,Chicago,0
63.72,27.1,1.3584,43.7862,Pump,San Francisco,0
57.76,29.06,0.8992,59.3273,Pump,Atlanta,0
90.29,36.83,3.2171,61.6746,Pump,Houston,1
66.21,28.61,0.8432,44.2074,Turbine,Chicago,0
69.02,54.12,1.4753,46.9704,Turbine,San Francisco,0
68.88,39.55,2.6747,49.9521,Compressor,Chicago,0
64.64,48.08,1.6836,68.3818,Turbine,Atlanta,0
71.15,52.04,2.6968,57.7923,Turbine,Atlanta,1
89.5,67.11,2.9687,53.3118,Pump,Atlanta,1
62.66,40.36,1.6738,61.6351,Turbine,New York,0
92.65,61.42,3.8266,76.8753,Turbine,Houston,1
48.8,33.9,0.704,50.3142,Pump,New York,0
81.4,61.13,2.0603,28.9803,Compressor,Houston,0
69.24,52.15,3.1833,51.1114,Compressor,New York,0
91.06,50.3,3.4024,53.0466,Turbine,Atlanta,1
87.96,42.4,-0.0139,30.5006,Compressor,Atlanta,0
72.98,42.89,1.3451,32.0574,Turbine,Houston,0
64.92,38.85,1.9147,44.1816,Turbine,Atlanta,0
80.38,40.86,1.2821,50.6929,Turbine,Atlanta,0
74.81,27.91,1.1032,62.689,Pump,San Francisco,0
80.52,30.21,1.9054,55.3517,Turbine,New York,0
67.31,31.09,0.4241,42.8085,Turbine,New York,0
57.95,43.58,1.3403,46.876,Pump,New York,0
76.76,23.99,2.1654,52.5894,Compressor,Houston,0
62.1,51.87,1.1676,64.1755,Pump,New York,0
54.51,35.93,1.048,44.7232,Pump,San Francisco,0
69.69,39.27,0.8061,72.7531,Pump,Atlanta,0
70.01,28.29,1.4177,52.4995,Pump,Houston,0
58.66,43.11,1.238,37.5147,Pump,San Francisco,0
75.33,66.9,1.1272,40.8919,Compressor,San Francisco,0
92.28,33.84,4.1368,45.0173,Turbine,New York,1
81.07,61.97,3.0816,66.5811,Pump,Atlanta,1
73.85,66.47,3.9086,43.427,Compressor,Atlanta,1
41.96,31.45,0.972,57.2898,Pump,San Francisco,0
51.38,35.95,0.6774,58.2984,Pump,New York,0
96.33,21.94,1.2419,43.2349,Turbine,Houston,0
65.43,43.49,1.0091,41.779,Pump,San Francisco,0
61.71,47.6,1.088,43.1699,Pump,New York,0
64.78,45.65,1.8552,58.5511,Turbine,San Francisco,0
82.19,45.69,2.0678,44.1535,Compressor,Atlanta,0
72.58,29.8,0.6557,61.4216,Turbine,New York,0
83.27,66.29,3.0484,51.052,Pump,New York,1
68.75,28.27,1.4933,53.9052,Turbine,Chicago,0
91.74,64.35,3.6659,33.4268,Compressor,Chicago,0
81.94,36.63,1.7073,64.9192,Turbine,San Francisco,0
81.66,37.96,1.4324,60.0357,Turbine,San Francisco,0
69.81,36.11,2.0621,59.4753,Turbine,Houston,0
75.28,44.31,3.4986,53.6239,Compressor,Chicago,1
77.09,28.41,2.1445,46.4524,Compressor,Atlanta,0
95.4,43.04,3.2886,43.7258,Pump,Chicago,1
61.07,33.65,1.0091,61.0861,Pump,San Francisco,0
71.59,64.06,0.714,37.3728,Compressor,Atlanta,0
63.45,60.51,1.7773,51.3336,Compressor,San Francisco,0
65.94,26.17,1.1491,55.8359,Turbine,Atlanta,0
53.51,36.89,0.6684,62.8218,Pump,Chicago,0
70.24,23.93,1.4436,60.571,Compressor,New York,0
74.76,51.52,2.7533,66.2103,Pump,Chicago,1
56.72,36.55,1.2475,46.3287,Pump,Atlanta,0
76.54,46.81,3.2619,58.7439,Turbine,New York,1
62.74,61.34,1.9476,64.8169,Compressor,San Francisco,0
75.22,31.84,1.5958,50.6837,Turbine,New York,0
82.41,30.9,0.2724,54.6983,Pump,Atlanta,0
64.49,27.79,1.2459,48.5222,Turbine,San Francisco,0
73.27,43.0,1.8111,38.6117,Turbine,Houston,0
66.73,33.36,1.1117,49.125,Pump,Atlanta,0
81.57,94.47,3.3534,46.5432,Compressor,New York,1
65.14,40.9,0.7223,56.0136,Pump,San Francisco,0
62.71,35.08,-0.0499,43.0897,Compressor,Houston,0
69.81,37.37,1.5112,55.4712,Turbine,New York,0
72.15,60.77,2.3508,45.1962,Compressor,Atlanta,0
64.75,36.46,2.9217,42.1222,Pump,Houston,1
48.38,42.56,1.9943,36.4855,Turbine,Atlanta,0
66.7,41.77,0.318,45.6371,Pump,New York,0
58.97,18.57,0.9472,71.6147,Pump,Houston,0
65.21,53.46,0.9919,38.8364,Compressor,New York,0
55.4,43.65,1.271,55.6061,Pump,Chicago,0
72.43,26.01,0.7884,55.6232,Pump,New York,0
64.95,61.6,0.6488,37.8068,Compressor,Chicago,0
66.08,56.18,0.9539,46.9166,Compressor,Houston,0
45.76,32.33,0.8712,60.8855,Pump,San Francisco,0
49.02,56.93,3.6194,31.3683,Compressor,Atlanta,0
65.49,29.19,1.008,60.7209,Pump,Chicago,0
64.15,31.35,1.2308,53.3085,Compressor,Chicago,0
72.32,27.97,1.4968,65.6226,Turbine,San Francisco,0
96.18,52.93,3.8143,37.306,Turbine,Houston,1
78.88,50.99,1.3242,36.8191,Compressor,New York,0
69.93,46.15,0.0492,70.0037,Turbine,San Francisco,0
62.95,45.77,3.3734,35.8383,Pump,New York,1
69.87,59.86,2.3531,36.3505,Compressor,New York,0
74.92,57.02,0.5878,42.3835,Turbine,Houston,0
88.79,48.48,2.9052,66.0313,Pump,San Francisco,1
66.13,64.75,1.475,37.0731,Compressor,New York,0
45.94,25.69,0.9673,65.3396,Pump,New York,0
72.36,24.29,1.2041,66.9251,Pump,San Francisco,0
42.21,38.2,0.8487,54.1848,Pump,Chicago,0
58.24,50.51,1.1302,34.1417,Compressor,Houston,0
74.06,40.34,3.2436,68.3783,Pump,San Francisco,1
78.54,42.36,1.2147,57.3422,Turbine,Houston,0
74.6,17.8,0.8205,57.2858,Pump,Atlanta,0
64.8,29.31,1.1705,56.0531,Pump,Chicago,0
66.45,57.37,2.1376,34.4069,Compressor,Atlanta,0
57.94,38.19,1.3628,52.2038,Turbine,Atlanta,0
73.39,40.74,1.5534,33.9985,Compressor,Houston,0
69.4,61.68,2.3662,61.7449,Compressor,New York,0
72.91,1.13,1.2382,52.7975,Pump,Atlanta,0
72.56,36.77,2.0377,53.6312,Turbine,San Francisco,0
78.82,35.1,1.6869,74.2757,Pump,New York,0
59.63,39.52,1.5936,52.2993,Turbine,Atlanta,0
69.67,29.39,0.7654,55.0276,Pump,New York,0
65.27,51.53,1.4698,40.037,Compressor,San Francisco,0
77.73,50.65,3.8382,48.6265,Turbine,Atlanta,1
55.68,45.97,1.1632,47.6663,Turbine,Atlanta,0
71.65,39.59,1.8505,58.5515,Turbine,San Francisco,0
64.24,33.32,1.1215,54.5766,Pump,San Francisco,0
100.14,55.8,3.4858,62.0152,Compressor,Chicago,1
51.71,28.37,0.4758,53.7196,Pump,Atlanta,0
64.17,52.79,2.1579,36.8727,Compressor,Chicago,0
68.11,23.52,1.2456,70.3793,Pump,Chicago,0
80.18,42.71,1.7757,53.4059,Turbine,San Francisco,0
51.35,51.95,1.0131,52.4416,Pump,New York,0
68.9,44.97,1.3073,54.2045,Turbine,Atlanta,0
56.66,67.57,2.2803,47.9786,Compressor,Atlanta,0
70.16,39.13,2.2841,62.9037,Turbine,San Francisco,0
68.59,58.52,1.4411,36.2948,Compressor,Chicago,0
71.82,72.31,1.536,47.394,Compressor,San Francisco,0
58.66,10.93,1.275,48.0727,Pump,Chicago,0
69.78,27.47,0.5872,51.604,Pump,Chicago,0
55.8,48.63,1.099,63.9437,Pump,Atlanta,0
53.46,51.7,1.6829,58.9663,Compressor,Chicago,0
63.97,21.86,0.7595,30.6981,Pump,San Francisco,0
77.49,24.82,0.7902,50.0764,Pump,Atlanta,0
78.09,45.46,2.1797,47.6088,Turbine,Houston,0
88.7,20.14,1.9287,41.3338,Turbine,New York,0
60.07,58.54,2.4491,51.0643,Compressor,New York,0
55.99,38.49,2.5103,42.1328,Compressor,Chicago,0
68.08,17.65,2.2275,47.1783,Compressor,San Francisco,0
36.78,24.34,0.7699,69.7768,Pump,San Francisco,0
61.12,52.45,0.9157,59.2497,Pump,Houston,0
62.45,44.94,1.2814,39.9027,Compressor,New York,0
64.49,50.56,0.9883,57.2243,Pump,San Francisco,0
80.86,50.55,1.5002,37.0283,Turbine,Atlanta,0
65.49,57.19,1.0756,45.8312,Pump,Houston,0
70.1,43.98,1.6459,45.7501,Turbine,Houston,0
57.0,34.5,1.7862,43.8803,Pump,Chicago,0
72.81,57.59,1.6861,53.8916,Turbine,San Francisco,0
92.66,36.91,4.1659,50.4387,Turbine,San Francisco,1
69.63,38.02,1.0515,43.2695,Turbine,Houston,0
71.64,56.95,2.2885,45.3413,Compressor,New York,0
57.49,48.6,2.5636,59.8977,Compressor,Chicago,0
68.97,47.75,1.1955,43.6231,Pump,New York,0
95.99,61.68,3.1329,50.82,Turbine,Atlanta,1
48.35,43.05,2.0631,57.7325,Turbine,Chicago,0
51.99,50.06,0.6306,68.0748,Pump,Houston,0
71.39,28.01,3.1752,41.4206,Compressor,Houston,0
57.07,65.91,3.3124,38.4442,Compressor,Houston,0
56.29,20.94,1.0047,64.0228,Pump,Atlanta,0
58.34,24.18,1.1697,54.3927,Pump,Atlanta,0
71.72,45.53,0.9122,41.0493,Turbine,Atlanta,0
80.39,44.97,1.4217,63.0832,Turbine,Chicago,0
53.59,39.55,0.9432,40.1277,Pump,New York,0
68.5,26.53,2.0763,42.3655,Compressor,Houston,0
61.71,60.98,2.268,48.1616,Compressor,Atlanta,0
67.57,41.12,0.695,52.5592,Pump,Atlanta,0
58.09,34.63,0.9291,49.7197,Pump,San Francisco,0
57.29,43.99,1.8363,45.0481,Compressor,Chicago,0
76.34,52.55,1.5306,50.0786,Pump,Houston,0
67.04,36.59,0.9381,60.6048,Pump,Atlanta,0
66.99,10.71,1.4395,61.2463,Turbine,San Francisco,0
74.38,44.68,1.5845,46.5344,Compressor,Atlanta,0
52.58,30.15,1.3693,71.8501,Pump,Atlanta,0
66.79,72.36,2.9463,42.3199,Pump,New York,1
55.2,95.93,1.1175,41.8746,Compressor,New York,0
71.51,47.65,0.6305,61.1291,Turbine,Atlanta,0
76.93,62.76,4.7453,47.6127,Compressor,New York,1
71.3,37.94,2.7163,38.6842,Compressor,San Francisco,0
82.53,58.2,2.9899,59.5474,Pump,San Francisco,1
74.84,48.04,2.9382,47.5342,Pump,Houston,1
58.22,49.43,2.9856,19.6261,Compressor,New York,0
52.98,35.37,1.1937,60.519,Turbine,Atlanta,0
55.85,27.0,1.9255,65.0057,Turbine,New York,0
57.94,65.12,2.0932,43.9896,Compressor,Houston,0
68.83,33.64,2.3694,46.7876,Turbine,Chicago,0
54.21,58.84,3.2135,48.5784,Compressor,San Francisco,0
86.06,44.1,3.4741,50.8695,Compressor,San Francisco,0
42.96,25.76,1.4689,52.2601,Pump,Atlanta,0
65.43,70.17,2.0754,62.2748,Compressor,Houston,0
65.95,52.56,1.4642,40.9893,Compressor,New York,0
74.42,35.7,1.6902,48.0916,Turbine,San Francisco,0
56.95,42.39,1.1559,71.2835,Pump,Atlanta,0
63.18,33.23,1.3197,55.3892,Turbine,New York,0
87.96,70.63,5.0832,51.8889,Compressor,New York,1
57.85,46.07,2.6633,44.7267,Compressor,New York,0
69.3,48.9,2.2955,47.9423,Turbine,San Francisco,0
